time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,18112,0.544,0.392,3.622,0.459,0.471,0.686
10,18522,0.532,0.384,5.334,0.456,0.465,0.643
15,18306,0.538,0.377,6.055,0.460,0.470,0.659
20,18462,0.534,0.386,5.542,0.456,0.466,0.690
25,18462,0.534,0.389,5.913,0.457,0.467,0.570
30,18447,0.534,0.388,5.814,0.456,0.466,0.684
35,18172,0.542,0.389,5.766,0.460,0.470,0.695
40,18417,0.535,0.380,6.043,0.458,0.467,0.679
45,18486,0.533,0.396,5.723,0.456,0.466,0.690
50,18475,0.533,0.394,6.169,0.457,0.466,0.683
55,18479,0.533,0.384,5.624,0.457,0.466,0.687
60,18594,0.530,0.398,5.532,0.456,0.465,0.533
