time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,13938,0.711,0.611,3.281,0.682,0.695,0.718
10,13926,0.712,0.614,3.646,0.682,0.696,0.719
15,14232,0.698,0.619,5.516,0.678,0.689,0.701
20,14062,0.705,0.611,5.471,0.680,0.692,0.711
25,13928,0.712,0.615,5.481,0.680,0.696,0.721
30,13974,0.710,0.614,5.976,0.681,0.695,0.718
35,14115,0.703,0.620,5.643,0.678,0.690,0.705
40,13899,0.714,0.636,6.104,0.685,0.698,0.720
45,13891,0.714,0.624,5.832,0.682,0.696,0.720
50,10234,0.967,0.645,5.276,0.778,0.856,1.038
55,13430,0.738,0.634,4.978,0.694,0.716,0.752
60,14050,0.706,0.617,5.314,0.681,0.693,0.713
