time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,2040,4.901,4.114,17.403,4.406,4.502,5.548
10,2038,4.902,4.069,16.452,4.390,4.485,5.469
15,2048,4.880,4.144,21.999,4.386,4.484,5.540
20,2051,4.871,4.173,17.443,4.384,4.481,5.537
25,2077,4.813,3.955,16.378,4.375,4.464,5.389
30,2169,4.606,3.934,14.619,4.156,4.251,5.204
35,2194,4.555,3.908,16.831,4.138,4.219,4.577
40,2174,4.598,3.936,24.059,4.149,4.239,5.177
45,2176,4.590,3.937,15.187,4.165,4.249,5.085
50,2170,4.607,3.927,15.010,4.151,4.243,5.193
55,2134,4.681,3.952,15.823,4.184,4.297,5.295
