time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,1827,5.470,4.407,17.350,4.696,5.732,6.033
10,1778,5.619,4.425,16.598,4.803,5.759,6.169
15,1804,5.538,4.418,17.803,4.724,5.799,6.073
20,1870,5.343,4.049,15.671,4.587,5.388,5.887
25,1945,5.140,4.021,17.107,4.414,5.290,5.669
30,1937,5.158,3.983,15.346,4.432,5.315,5.684
35,1850,5.401,3.999,16.569,4.635,5.585,5.958
40,1854,5.390,4.250,16.094,4.638,5.619,5.942
45,1880,5.319,4.200,17.788,4.574,5.050,5.871
50,1875,5.329,4.226,16.966,4.595,5.325,5.896
55,1852,5.396,4.237,17.045,4.632,5.558,5.944
