time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,514,19.397,7.855,40.446,13.951,17.681,24.025
10,592,16.937,8.336,43.203,12.072,14.436,18.933
15,546,18.318,8.356,47.599,11.567,15.481,24.137
20,554,17.933,8.301,47.095,11.459,15.179,22.957
25,692,14.496,8.263,41.052,10.917,12.474,15.872
30,563,17.749,8.209,42.656,12.403,15.789,21.203
35,518,19.276,8.608,41.036,12.133,16.329,25.694
40,557,17.959,8.013,36.819,12.134,15.743,23.782
45,449,22.254,10.643,38.717,17.348,21.752,26.805
50,489,20.397,8.767,43.299,15.244,17.606,24.775
55,441,22.638,9.091,43.45,14.053,21.001,30.814
