time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,15940,0.617,0.378,10.409,0.514,0.579,0.67
10,13541,0.727,0.374,8.594,0.578,0.666,0.814
15,13635,0.721,0.442,5.172,0.602,0.684,0.799
20,16806,0.586,0.397,3.979,0.489,0.551,0.641
25,15599,0.632,0.405,4.982,0.532,0.596,0.689
30,15657,0.63,0.397,5.989,0.537,0.607,0.688
35,16580,0.595,0.397,4.832,0.485,0.554,0.661
40,17151,0.575,0.368,6.081,0.481,0.545,0.638
45,16492,0.599,0.387,7.319,0.488,0.552,0.66
50,16776,0.588,0.368,4.214,0.487,0.555,0.656
55,15803,0.624,0.405,4.875,0.527,0.599,0.68
60,17434,0.566,0.393,4.882,0.481,0.531,0.63
