time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,841,11.893,7.000,28.547,9.755,11.387,13.187
10,715,13.961,6.119,35.968,9.134,11.940,18.048
15,601,16.668,6.659,31.330,10.700,16.205,22.026
20,650,15.362,6.316,33.624,9.591,12.437,20.586
25,678,14.745,6.163,39.475,9.551,12.958,18.602
30,776,12.869,6.437,29.753,9.743,11.441,15.328
35,603,16.585,6.765,54.077,9.879,13.613,23.030
40,839,11.898,5.873,33.180,9.277,11.028,13.388
45,648,15.388,8.199,41.750,12.975,15.340,17.473
50,606,16.527,7.082,35.140,13.452,14.739,18.558
55,626,15.962,7.686,39.599,11.904,14.988,19.774
60,688,14.527,7.279,34.374,11.343,13.478,17.206
