time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,3930,2.542,1.596,9.719,1.907,2.481,2.894
10,3856,2.591,1.567,16.679,1.928,2.484,2.923
15,3914,2.517,1.588,14.132,1.897,2.443,2.873
20,3868,2.619,1.591,181.095,1.927,2.448,2.842
25,3934,2.540,1.564,14.200,1.952,2.467,2.898
30,3995,2.503,1.572,28.571,1.910,2.407,2.831
35,3928,2.544,1.593,28.072,1.933,2.465,2.857
40,3951,2.530,1.583,27.757,1.916,2.452,2.861
45,3955,2.527,1.589,28.095,1.875,2.420,2.872
50,3986,2.506,1.574,26.179,1.902,2.453,2.860
55,3865,2.586,1.580,17.418,1.960,2.498,2.935
