time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,3892,2.568,1.579,16.499,1.938,2.480,2.896
10,3922,2.547,1.607,14.435,1.919,2.461,2.885
15,3939,2.538,1.582,14.339,1.915,2.450,2.886
20,3932,2.540,1.591,20.367,1.916,2.471,2.876
25,3763,2.656,1.582,194.299,1.922,2.486,2.908
30,3933,2.542,1.581,14.165,1.917,2.441,2.873
35,3824,2.613,1.601,20.100,1.974,2.515,2.941
40,3634,2.751,1.601,24.177,1.953,2.493,2.923
45,4019,2.486,1.592,16.417,1.890,2.387,2.807
50,3948,2.532,1.600,24.992,1.911,2.454,2.879
55,3957,2.525,1.588,15.439,1.907,2.467,2.886
