time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,3352,2.982,1.583,35.291,2.092,2.228,2.432
10,3621,2.747,1.589,159.617,2.077,2.210,2.415
15,3194,3.143,1.592,49.773,2.155,2.322,2.672
20,4074,2.454,1.591,25.561,2.106,2.251,2.436
25,3949,2.530,1.578,17.889,2.097,2.251,2.464
30,4073,2.454,1.580,19.057,2.082,2.223,2.429
35,3716,2.689,1.578,21.696,2.119,2.276,2.586
40,3639,2.747,1.584,17.516,2.134,2.307,2.690
45,3996,2.501,1.581,209.731,2.071,2.202,2.386
50,2887,3.463,1.567,31.983,2.124,2.372,3.292
55,4007,2.495,1.577,27.462,2.106,2.277,2.514
