time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,4246,2.353,1.572,16.025,1.826,2.159,2.656
10,4190,2.385,1.564,18.676,1.811,2.167,2.686
15,4197,2.381,1.557,28.673,1.819,2.167,2.683
20,4318,2.315,1.550,15.998,1.810,2.131,2.625
25,4356,2.294,1.563,12.178,1.806,2.106,2.599
30,4288,2.331,1.575,14.651,1.812,2.149,2.644
35,3922,2.548,1.577,212.050,1.804,2.144,2.637
40,4339,2.304,1.580,24.056,1.794,2.115,2.584
45,4194,2.383,1.572,17.511,1.821,2.171,2.688
50,4292,2.329,1.565,27.369,1.813,2.140,2.652
55,4310,2.319,1.568,21.535,1.822,2.140,2.609
