time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,12699,0.784,0.141,12.967,0.234,0.731,1.235
10,12353,0.806,0.143,12.993,0.253,0.738,1.265
15,12706,0.783,0.139,10.506,0.235,0.702,1.243
20,12550,0.793,0.141,11.354,0.245,0.564,1.259
25,12754,0.780,0.141,17.323,0.228,0.714,1.230
30,12597,0.790,0.140,9.705,0.244,0.698,1.249
35,12826,0.776,0.139,13.958,0.232,0.693,1.238
40,12648,0.787,0.140,10.757,0.241,0.628,1.245
45,12710,0.783,0.140,11.421,0.236,0.694,1.239
50,12613,0.789,0.141,12.152,0.236,0.723,1.241
55,12663,0.786,0.140,12.963,0.236,0.667,1.245
60,11617,0.857,0.142,19.379,0.251,0.786,1.280
