time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,12329,0.807,0.141,12.382,0.248,0.724,1.282
10,12604,0.790,0.140,11.345,0.234,0.712,1.250
15,12928,0.770,0.139,11.959,0.229,0.684,1.227
20,13011,0.765,0.140,8.656,0.226,0.517,1.233
25,12216,0.814,0.140,19.549,0.245,0.702,1.274
30,11648,0.854,0.142,53.662,0.246,0.751,1.270
35,13005,0.765,0.139,12.407,0.221,0.570,1.213
40,12605,0.789,0.140,8.397,0.233,0.725,1.248
45,12673,0.785,0.140,10.918,0.237,0.563,1.245
50,12651,0.787,0.140,16.439,0.232,0.733,1.241
55,12585,0.790,0.141,11.398,0.237,0.667,1.250
60,12324,0.808,0.141,15.211,0.238,0.779,1.263
