time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,60820,0.162,0.137,6.243,0.148,0.154,0.165
10,60048,0.164,0.136,3.430,0.151,0.158,0.168
15,59189,0.166,0.137,55.210,0.150,0.156,0.167
20,59939,0.164,0.139,79.524,0.150,0.156,0.165
25,61352,0.161,0.138,3.341,0.150,0.155,0.164
30,61089,0.160,0.138,78.592,0.149,0.154,0.161
35,60835,0.162,0.138,7.061,0.149,0.155,0.166
40,60666,0.163,0.138,124.112,0.148,0.153,0.161
45,61654,0.160,0.137,14.484,0.148,0.154,0.161
50,60621,0.163,0.138,10.762,0.150,0.157,0.167
55,61751,0.159,0.138,16.104,0.149,0.155,0.163
60,59724,0.159,0.138,16.692,0.148,0.153,0.161
