time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,25946,0.383,0.139,12.243,0.152,0.167,0.363
10,25401,0.391,0.138,7.513,0.153,0.167,0.638
15,25636,0.388,0.139,11.351,0.151,0.164,0.627
20,23950,0.415,0.138,18.161,0.153,0.174,0.657
25,24868,0.400,0.139,10.272,0.154,0.171,0.647
30,25863,0.384,0.138,7.415,0.152,0.165,0.363
35,24078,0.413,0.139,66.122,0.155,0.174,0.649
40,25085,0.396,0.138,9.993,0.153,0.170,0.640
45,24831,0.400,0.139,13.185,0.153,0.169,0.646
50,22355,0.440,0.138,94.933,0.155,0.179,0.659
55,24815,0.401,0.138,10.730,0.153,0.169,0.644
60,25373,0.392,0.138,10.406,0.151,0.163,0.634
