ratio(r), throughput, latency, 25th, 50th, 75th
100,1.0,1.0,1.0,1.0,1.0
75,0.5924481076716653,1.0168564854552404,1.055936353692201,1.030473900736178,1.0129095796609235
50,0.42896774520198144,0.9760867013627741,1.0049334965505445,1.0488239155200902,0.9657397413156963
25,0.42044098412528513,1.2515237195346256,1.2397767571799392,1.2915078548740748,1.2804365985122443
0,0.37223021648205235,1.3223331547600705,1.2623552781479301,1.3179694413118197,1.377059929599736
