platform, throughput, latency, 25th, 50th, 75th
env1,14297.778787878788,1.571721212121212,1.0693924242424242,1.414223484848485,1.8359416666666664
env2,5868.174242424242,8.316594696969698,6.240559848484848,7.665376515151516,9.908326515151515
env3,9350.731060606062,2.974796212121212,2.7188378787878786,2.9160916666666665,3.1611856060606063
