time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,691,14.463,7.133,39.645,11.457,13.51,16.519
10,575,17.389,7.356,37.12,13.313,15.96,20.69
15,546,18.282,7.774,34.476,15.569,18.267,20.895
20,991,10.111,6.272,36.492,7.376,8.534,10.171
25,937,10.653,7.647,25.717,9.283,10.165,11.643
30,650,15.36,7.767,32.882,11.289,14.701,18.482
35,576,17.379,9.563,39.412,14.48,16.841,19.591
40,592,16.824,9.223,45.135,13.745,16.148,19.134
45,625,16.025,7.021,34.521,12.1,15.193,19.204
50,587,17.006,10.844,32.878,14.305,16.632,19.003
55,905,11.053,6.427,30.517,9.018,9.849,12.096
60,926,10.788,7.515,26.487,9.055,10.217,11.819
