time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,8373,1.180,0.373,6.776,0.802,1.037,1.414
10,8832,1.119,0.359,5.880,0.740,0.972,1.333
15,8648,1.142,0.374,5.550,0.749,1.003,1.340
20,8797,1.122,0.358,6.420,0.738,0.977,1.316
25,8637,1.145,0.361,7.508,0.761,0.998,1.352
30,9450,1.045,0.373,4.661,0.713,0.922,1.207
35,9301,1.062,0.344,6.082,0.724,0.941,1.247
40,9077,1.089,0.378,5.519,0.721,0.951,1.264
45,9287,1.065,0.376,11.732,0.724,0.943,1.229
50,8275,1.196,0.342,7.587,0.781,1.041,1.439
55,10673,0.926,0.370,6.968,0.653,0.830,1.021
60,11751,0.840,0.400,4.949,0.637,0.805,0.957
