time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,772,12.937,7.486,28.947,10.146,12.07,14.723
10,680,14.699,8.481,35.395,12.273,14.253,16.415
15,646,15.476,8.197,30.819,12.631,15.139,17.705
20,882,11.323,7.34,27.7,9.506,10.956,12.509
25,915,10.931,7.15,24.066,9.212,10.792,11.945
30,943,10.588,7.515,23.14,9.088,10.472,11.709
35,927,10.785,7.509,25.475,9.115,10.542,11.906
40,906,11.03,7.397,23.379,9.484,10.9,12.365
45,853,11.716,7.851,27.992,9.824,11.558,12.8
50,786,12.719,8.299,32.757,10.594,12.354,13.763
55,857,11.659,7.69,28.839,9.838,11.64,12.87
