time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,8767,1.125,0.379,4.831,0.745,0.978,1.367
10,7545,1.307,0.371,7.972,0.87,1.159,1.595
15,9644,1.023,0.401,4.794,0.652,0.878,1.174
20,12563,0.785,0.446,13.76,0.572,0.699,0.911
25,12770,0.772,0.436,10.664,0.541,0.68,0.895
30,12459,0.791,0.439,8.113,0.558,0.699,0.92
35,13020,0.758,0.416,23.262,0.536,0.661,0.874
40,13264,0.745,0.43,8.326,0.539,0.65,0.868
45,12693,0.778,0.441,14.977,0.55,0.696,0.896
50,13014,0.759,0.436,4.919,0.556,0.67,0.88
55,13098,0.754,0.444,15.454,0.547,0.656,0.873
60,12843,0.769,0.451,7.917,0.557,0.667,0.892
