time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,547,18.279,7.926,38.607,15.015,17.498,20.781
10,568,17.585,7.302,40.634,13.675,16.474,20.673
15,507,19.714,7.752,51.406,14.624,18.266,24.401
20,607,16.464,7.316,35.496,12.096,14.882,20.064
25,555,17.988,7.358,39.021,13.022,16.241,22.063
30,557,17.935,7.726,40.08,13.023,16.683,22.175
35,625,16.007,7.39,42.981,11.77,14.353,18.441
40,577,17.305,7.155,44.362,11.411,15.803,20.846
45,522,19.185,7.763,45.173,14.271,17.804,23.144
50,501,19.913,7.255,49.139,15.043,18.889,24.75
55,603,16.598,7.506,40.789,12.351,15.139,19.403
