time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,7763,1.276,0.37,5.751,0.847,1.093,1.497
10,10972,0.901,0.39,4.852,0.74,0.859,0.987
15,12047,0.821,0.384,5.486,0.701,0.806,0.903
20,12760,0.775,0.397,4.82,0.682,0.765,0.859
25,11998,0.824,0.363,5.658,0.691,0.815,0.916
30,12111,0.817,0.383,4.827,0.699,0.798,0.899
35,11887,0.833,0.401,9.604,0.711,0.821,0.925
40,12345,0.802,0.401,4.741,0.696,0.796,0.891
45,12187,0.813,0.369,4.963,0.701,0.803,0.893
50,11747,0.843,0.409,4.571,0.721,0.841,0.938
55,12285,0.806,0.352,5.364,0.699,0.798,0.89
60,12739,0.778,0.398,4.849,0.685,0.767,0.858
