time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,16541,0.596,0.394,3.557,0.463,0.655,0.717
10,16540,0.596,0.388,5.149,0.464,0.582,0.718
15,16557,0.596,0.391,5.798,0.463,0.582,0.717
20,16647,0.592,0.391,5.909,0.461,0.551,0.715
25,16573,0.595,0.394,6.100,0.462,0.674,0.715
30,16595,0.594,0.386,5.625,0.462,0.664,0.715
35,16603,0.594,0.395,6.196,0.461,0.657,0.715
40,16527,0.597,0.399,6.014,0.463,0.672,0.716
45,16592,0.594,0.384,5.786,0.462,0.639,0.715
50,16550,0.595,0.382,6.489,0.463,0.668,0.716
55,16468,0.599,0.388,6.059,0.463,0.680,0.717
60,16457,0.599,0.382,5.881,0.464,0.669,0.719
