time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,2249,4.446,3.980,15.877,4.240,4.333,4.467
10,2268,4.407,4.000,16.396,4.217,4.320,4.423
15,2268,4.407,3.988,20.830,4.218,4.315,4.431
20,2270,4.402,3.978,15.611,4.214,4.307,4.425
25,2274,4.395,3.971,15.258,4.216,4.313,4.417
30,2245,4.450,3.982,16.486,4.254,4.355,4.467
35,2260,4.422,3.974,24.715,4.231,4.336,4.444
40,2262,4.418,3.961,15.788,4.234,4.332,4.440
45,2256,4.431,3.980,15.498,4.243,4.342,4.449
50,2249,4.443,3.987,15.198,4.256,4.350,4.460
55,2256,4.433,3.953,14.978,4.242,4.347,4.450
