time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,21939,0.450,0.367,3.153,0.408,0.447,0.475
10,21742,0.454,0.371,6.009,0.412,0.453,0.479
15,21449,0.460,0.368,6.131,0.424,0.459,0.479
20,21736,0.454,0.369,5.972,0.409,0.454,0.476
25,21129,0.467,0.371,6.197,0.432,0.462,0.492
30,21451,0.460,0.372,6.356,0.420,0.458,0.486
35,22226,0.444,0.366,6.007,0.402,0.435,0.466
40,22039,0.448,0.367,5.979,0.405,0.444,0.469
45,21369,0.462,0.373,5.390,0.419,0.460,0.489
50,21595,0.457,0.369,5.745,0.415,0.457,0.480
55,21703,0.454,0.359,5.396,0.411,0.455,0.478
60,21610,0.456,0.369,6.085,0.413,0.456,0.478
