time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,1644,6.081,5.535,15.526,5.860,5.977,6.104
10,1639,6.093,5.594,17.018,5.881,5.989,6.101
15,1643,6.081,5.646,14.454,5.876,5.972,6.098
20,1633,6.121,5.569,15.340,5.882,6.004,6.125
25,1630,6.133,5.602,17.873,5.892,6.005,6.132
30,1647,6.063,5.610,14.827,5.850,5.960,6.078
35,1641,6.096,5.589,15.917,5.866,5.989,6.110
40,1614,6.193,5.640,20.487,5.935,6.045,6.191
45,1635,6.113,5.602,13.959,5.871,6.000,6.139
50,1608,6.216,5.620,16.887,5.928,6.046,6.215
55,1640,6.091,5.567,15.968,5.861,5.973,6.103
60,1631,6.123,5.492,14.215,5.865,5.993,6.129
